metabolite,biochemical,platform_name,id,fluid,matched,name,sid,chebi,swisslipids,hmdb,lipidmaps,pubchem,chebi_name,swisslipids_name,hmdb_name,lipidmaps_name,IUPAC,InchiKey,chebi_synonyms,swisslipids_synonyms,lipidmaps_synonyms
"""1-(1-enyl-oleoyl)-GPC (P-18:1)*""","""1-(1-enyl-oleoyl)-GPC (P-18:1)*""","""Metabolon HD4 [nt-ms]""","""52701 LC/MS Pos Late""","""plasma""",true,"[""1-(1-enyl-oleoyl)-GPC (P-18:1)*""]","[""52701_unknown"", ""52701_lcmsposlate""]","[""CHEBI:136125""]","[""SLM:000093336""]","[""HMDB0010408""]",[],[],"[""lysophosphatidylcholine P-18:1/0:0""]","[""Phosphatidylcholine (P-18:1/0:0)""]","[""LysoPC(P-18:1(9Z)/0:0)""]",[],[],[],"[""lysophosphatidylcholine P-18:1/0:0"", [""LPC(P-18:1/0:0)"", ""PC(P-18:1/0:0)"", ""lysophosphatidylcholine(P-18:1/0:0)""]]","[""Phosphatidylcholine (P-18:1/0:0)""]",[]
"""1-(1-enyl-oleoyl)-GPE (P-18:1)*""","""1-(1-enyl-oleoyl)-GPE (P-18:1)*""","""Metabolon HD4 [nt-ms]""","""44621 LC/MS Neg""","""plasma""",true,"[""1-(1-enyl-oleoyl)-GPE (P-18:1)*""]","[""44621_lcmsneg"", ""44621_lcmsposlate""]","[""CHEBI:133229""]","[""SLM:000099640""]","[""HMDB0240599""]",[],[],"[""lysophosphatidylethanolamine P-18:1""]","[""Phosphatidylethanolamine (P-18:1/0:0)""]","[""LysoPE(P-18:1(9Z)/0:0)""]",[],[],[],"[""lysophosphatidylethanolamine P-18:1"", [""PE(P-18:1/0:0)"", ""PE P-18:1/0:0"", ""GPE(P-18:1/0:0)"", ""lysophosphatidylethanolamine(P-18:1)"", ""LPE(P-18:1)"", ""LPE P-18:1""]]","[""Phosphatidylethanolamine (P-18:1/0:0)""]",[]
"""1-(1-enyl-palmitoyl)-GPC (P-16:0)*""","""1-(1-enyl-palmitoyl)-GPC (P-16:0)*""","""Metabolon HD4 [nt-ms]""","""52474 LC/MS Pos Late""","""plasma""",true,"[""1-(1-enyl-palmitoyl)-GPC (P-16:0)*""]","[""52474_lcmsposlate""]","[""CHEBI:73841""]","[""SLM:000093141""]","[""HMDB0010407""]",[],[],"[""lysophosphatidylcholine (P-16:0/0:0)""]","[""Phosphatidylcholine (P-16:0/0:0)""]","[""LysoPC(P-16:0/0:0)""]",[],[],[],"[""lysophosphatidylcholine (P-16:0/0:0)"", [""LPC P-16:0/0:0"", ""lysophosphatidylcholine(P-16:0/0:0)"", ""GPCho(P-16:0/0:0)"", ""GPCho P-16:0/0:0"", ""lysoPC(P-16:0/0:0)"", ""LPC(P-16:0/0:0)"", ""lysoPC P-16:0/0:0""]]","[""Phosphatidylcholine (P-16:0/0:0)""]",[]
"""1-(1-enyl-palmitoyl)-GPE (P-16:0)*""","""1-(1-enyl-palmitoyl)-GPE (P-16:0)*""","""Metabolon HD4 [nt-ms]""","""39270 LC/MS Pos Late""","""plasma""",true,"[""1-(1-enyl-palmitoyl)-GPE (P-16:0)*""]","[""39270_lcmsneg"", ""39270_lcmsposlate""]","[""CHEBI:138421""]","[""SLM:000099445""]","[""HMDB0011152""]","[""LMGP02070001""]","[""42607469""]","[""1-(1Z-hexadecenyl)-sn-glycero-3-phosphoethanolamine""]","[""Phosphatidylethanolamine (P-16:0/0:0)""]","[""LysoPE(P-16:0/0:0)""]","[""PE(P-16:0/0:0)""]",[],"[""QYTPGOPLNFESQC-NUTQULCTSA-N""]","[""1-(1Z-hexadecenyl)-sn-glycero-3-phosphoethanolamine"", [""PE(P-16:0e/0:0)"", ""LysoPE(dm16:0e)""]]","[""Phosphatidylethanolamine (P-16:0/0:0)""]","[""PE(P-16:0/0:0)"", ""PE(P-16:0)""]"
"""1-(1-enyl-stearoyl)-GPC (P-18:0) *""","""1-(1-enyl-stearoyl)-GPC (P-18:0) *""","""Metabolon HD4 [nt-ms]""","""52702 LC/MS Pos Late""","""plasma""",true,"[""1-(1-enyl-stearoyl)-GPC (P-18:0) *""]","[""52702_unknown"", ""52702_lcmsposlate""]","[""CHEBI:88779""]","[""SLM:000093271""]","[""HMDB0013122""]","[""LMGP01070009""]","[""24779527""]","[""LysoPC P-18:0/0:0""]","[""Phosphatidylcholine (P-18:0/0:0)""]","[""LysoPC(P-18:0/0:0)""]","[""PC(P-18:0/0:0)""]","[""(2-{[(2R)-2-hydroxy-3-[(1Z)-octadec-1-en-1-yloxy]propyl phosphonato]oxy}ethyl)trimethylazanium""]","[""WBOMIOWRFSPZMC-AYICAFKVSA-N""]","[""LysoPC P-18:0/0:0"", [""PC(P-18:0/0:0)"", ""1-(1-Enyl-stearoyl)-glycero-3-phosphocholine"", ""(2-{[(2R)-2-hydroxy-3-[(1Z)-octadec-1-en-1-yloxy]propyl phosphonato]oxy}ethyl)trimethylazanium""]]","[""Phosphatidylcholine (P-18:0/0:0)""]","[""PC(P-18:0/0:0)"", ""LPC(P-18:0)""]"
"""1-(1-enyl-stearoyl)-GPE (P-18:0)*""","""1-(1-enyl-stearoyl)-GPE (P-18:0)*""","""Metabolon HD4 [nt-ms]""","""39271 LC/MS Neg""","""plasma""",true,"[""1-(1-enyl-stearoyl)-GPE (P-18:0)*""]","[""39271_lcmsneg"", ""39271_lcmsposlate""]","[""CHEBI:87823""]","[""SLM:000099575""]","[""HMDB0240598""]","[""LMGP02070002""]","[""42607470""]","[""1-[(1Z)-octadec-1-enyl]-sn-glycero-3-phosphoethanolamine""]","[""Phosphatidylethanolamine (P-18:0/0:0)""]","[""LysoPE(P-18:0/0:0)""]","[""PE(P-18:0/0:0)""]","[""2-aminoethyl (2R)-2-hydroxy-3-{[(1Z)-octadec-1-en-1-yl]oxy}propyl hydrogen phosphate""]","[""KACDZDULGKPXHT-HIVNOOBXSA-N""]","[""1-[(1Z)-octadec-1-enyl]-sn-glycero-3-phosphoethanolamine"", [""PE(18:0p/0:0)"", ""C18(Plasm) LPE"", ""1-[(1Z)-octadecenyl]-sn-glycero-3-phosphoethanolamine"", ""1-[(Z)-octadec-1-enyl]-sn-glycero-3-phosphoethanolamine"", ""2-aminoethyl (2R)-2-hydroxy-3-{[(1Z)-octadec-1-en-1-yl]oxy}propyl hydrogen phosphate"", ""PE(P-18:0/0:0)""]]","[""Phosphatidylethanolamine (P-18:0/0:0)""]","[""PE(P-18:0/0:0)"", ""PE(P-18:0)""]"
"""1-adrenoyl-GPC (22:4)*""","""1-adrenoyl-GPC (22:4)*""","""Metabolon HD4 [nt-ms]""","""52698 LC/MS Pos Late""","""plasma""",true,"[""1-adrenoyl-GPC (22:4)*""]","[""52698_unknown"", ""52698_lcmsposlate""]","[""CHEBI:131984""]","[""SLM:000089501""]","[""HMDB0010401""]",[],[],"[""lysophosphatidylcholine (22:4/0:0)""]","[""Phosphatidylcholine (22:4/0:0)""]","[""LysoPC(22:4(7Z,10Z,13Z,16Z)/0:0)""]",[],[],[],"[""lysophosphatidylcholine (22:4/0:0)"", [""LPC(22:4/0:0)"", ""lysoPC(22:4/0:0)"", ""PC(22:4/0:0)""]]","[""Phosphatidylcholine (22:4/0:0)""]",[]
"""1-arachidonoyl-GPC (20:4n6)*""","""1-arachidonoyl-GPC (20:4)*""","""Metabolon HD4 [nt-ms]""","""33228 LC/MS Pos Late""","""plasma""",true,"[""1-arachidonoyl-GPC* (20:4)*"", ""1-arachidonoylglycerophosphocholine (20:4n6)*""]","[""33228_lcmsposlate"", ""33228_lcmspos""]","[""CHEBI:91310""]","[""SLM:000089046""]","[""HMDB0010395""]",[],[],"[""lysophosphatidylcholine(20:4/0:0)""]","[""Phosphatidylcholine (20:4/0:0)""]","[""LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)""]",[],[],[],"[""lysophosphatidylcholine(20:4/0:0)"", [""LPC(20:4/0:0)"", ""LysoPC(20:4/0:0)""]]","[""Phosphatidylcholine (20:4/0:0)""]",[]
"""1-arachidonoyl-GPE (20:4n6)*""","""1-arachidonoyl-GPE (20:4)*""","""Metabolon HD4 [nt-ms]""","""35186 LC/MS Pos Late""","""plasma""",true,"[""1-arachidonoyl-GPE (20:4n6)*""]","[""35186_lcmsneg"", ""35186_lcmsposlate""]","[""CHEBI:136143""]","[""SLM:000095350""]","[""HMDB0011517""]",[],[],"[""lysophosphatidylethanolamine(20:4/0:0)""]","[""Phosphatidylethanolamine (20:4/0:0)""]","[""LysoPE(20:4(5Z,8Z,11Z,14Z)/0:0)""]",[],[],[],"[""lysophosphatidylethanolamine(20:4/0:0)"", [""LPE(20:4/0:0)"", ""PE(20:4/0:0)""]]","[""Phosphatidylethanolamine (20:4/0:0)""]",[]
"""1-arachidonoyl-GPI (20:4)*""","""1-arachidonoyl-GPI (20:4)*""","""Metabolon HD4 [nt-ms]""","""34214 LC/MS Neg""","""plasma""",true,"[""1-arachidonoyl-GPI (20:4)*""]","[""34214_lcmsneg""]","[""CHEBI:166934""]","[""SLM:000105878""]","[""HMDB0061690"", ""HMDB0256523""]",[],[],"[""lysophosphatidylinositol 20:4""]","[""Phosphatidylinositol (20:4/0:0)""]","[""LysoPI(20:4(5Z,8Z,11Z,14Z)/0:0)"", ""PI(20:4(5Z,8Z,11Z,14Z)/0:0)""]",[],[],[],"[""lysophosphatidylinositol 20:4"", [""LysoPI(20:4)"", ""PI 20:4_0:0"", ""LPI 20:4"", ""PI(20:4_0:0)"", ""LPI(20:4)"", ""LysoPI 20:4""]]","[""Phosphatidylinositol (20:4/0:0)""]",[]
