;Frechet distance;Metabolite;Vendor-defined super-pathway;Vendor-defined sub-pathway;Fluid;Platform;KEGG;HMDB;ID;labels
1;0;3-methylhistidine;Amino Acids;Histidine Metabolism;Plasma;Metabolon HD4 [nt-ms];C01152;HMDB00479;1090614;3-methylhistidine [P, nt-ms]
2;0,2712;S-allylcysteine;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];NA;NA;1091011;S-allylcysteine [P, nt-ms]
3;0,2736;N-acetylalliin;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090911;N-acetylalliin [P, nt-ms]
4;0,3716;ectoine;Xenobiotics;Chemical;Urine;Metabolon HD4 [nt-ms];C06231;NA;2091187;ectoine [U, nt-ms]
5;0,3747;3-methylhistidine;Amino Acids;Histidine Metabolism;Urine;Metabolon HD4 [nt-ms];C01152;HMDB00479;2090614;3-methylhistidine [U, nt-ms]
6;0,3752;alliin;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];C08265;HMDB33592;1090684;alliin [P, nt-ms]
7;0,3854;N-acetyl-S-allyl-L-cysteine;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2090932;N-acetyl-S-allyl-L-cysteine [U, nt-ms]
8;0,3993;2-aminophenol sulfate;Xenobiotics;Chemical;Urine;Metabolon HD4 [nt-ms];NA;HMDB61116;2090554;2-aminophenol sulfate [U, nt-ms]
9;0,4341;succinimide;Xenobiotics;Chemical;Urine;Metabolon HD4 [nt-ms];C07273;NA;2091280;succinimide [U, nt-ms]
10;0,4568;trans-4-hydroxyproline;Amino Acids;"Urea cycle; Arginine and Proline Metabolism";Plasma;Metabolon HD4 [nt-ms];C01157;HMDB00725;1091053;trans-4-hydroxyproline [P, nt-ms]
11;0,4586;N-acetyl-3-methylhistidine*;Amino Acids;Histidine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2090909;N-acetyl-3-methylhistidine* [U, nt-ms]
12;0,4588;1-methylhistidine;Amino Acids;Histidine Metabolism;Plasma;Metabolon HD4 [nt-ms];C01152;HMDB00001;1090524;1-methylhistidine [P, nt-ms]
13;0,468;2-acetamidophenol sulfate;Xenobiotics;Drug;Urine;Metabolon HD4 [nt-ms];NA;NA;2091083;2-acetamidophenol sulfate [U, nt-ms]
14;0,4967;2-aminoheptanoate;Lipids;Fatty Acid, Amino;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090552;2-aminoheptanoate [P, nt-ms]
15;0,5003;alliin;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];C08265;HMDB33592;2090684;alliin [U, nt-ms]
16;0,5273;1-methylxanthine;Xenobiotics;Xanthine Metabolism;Urine;Metabolon HD4 [nt-ms];C16358;HMDB10738;2090528;1-methylxanthine [U, nt-ms]
17;0,5302;4-hydroxypyridine;Xenobiotics;Chemical;Urine;Metabolon HD4 [nt-ms];NA;NA;2091141;4-hydroxypyridine [U, nt-ms]
18;0,5415;2-myristoyl-GPC (14:0)*;Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090574;2-myristoyl-GPC (14:0)* [P, nt-ms]
